TEAM,GP,Total_YDS,Total_YDS/G,Passing_YDS,Passing_YDS/G,Rushing_YDS,Rushing_YDS/G,Points_PTS,PointsPTS/G,Year
GNB,16,"5,344",334,"3,539",221.2,"1,805",112.8,369,23.1,2020
TEN,16,"6,372",398.3,"4,439",277.4,"1,933",120.8,439,27.4,2020
IND,16,"5,314",332.1,"3,866",241.6,"1,448",90.5,362,22.6,2020
KAN,16,"5,733",358.3,"3,779",236.2,"1,954",122.1,362,22.6,2020
LVR,16,"6,225",389.1,"4,212",263.3,"2,013",125.8,478,29.9,2020
LAR,16,"4,511",281.9,"3,051",190.7,"1,460",91.3,296,18.5,2020
MIA,16,"5,886",367.9,"4,024",251.5,"1,862",116.4,338,21.1,2020
MIN,16,"6,292",393.3,"4,141",258.8,"2,151",134.4,475,29.7,2020
NWE,16,"5,660",353.8,"3,557",222.3,"2,103",131.4,353,22.1,2020
NOR,16,"4,974",310.9,"3,472",217,"1,502",93.9,337,21.1,2020
NYG,16,"5,589",349.3,"3,807",237.9,"1,782",111.4,357,22.3,2020
NYJ,16,"6,201",387.6,"4,409",275.6,"1,792",112,457,28.6,2020
PHI,16,"5,810",363.1,"3,798",237.4,"2,012",125.8,418,26.1,2020
ARI,16,"5,631",351.9,"3,623",226.4,"2,008",125.5,367,22.9,2020
PIT,16,"4,893",305.8,"3,110",194.4,"1,783",111.4,312,19.5,2020
LAC,16,"5,495",343.4,"3,578",223.6,"1,917",119.8,426,26.6,2020
SFO,16,"5,030",314.4,"3,327",207.9,"1,703",106.4,390,24.4,2020
SEA,16,"6,089",380.6,"4,560",285,"1,529",95.6,371,23.2,2020
TAM,16,"5,234",327.1,"3,945",246.6,"1,289",80.6,355,22.2,2020
WAS,16,"4,873",304.6,"3,068",191.8,"1,805",112.8,329,20.6,2020
CAR,16,"5,761",360.1,"3,825",239.1,"1,936",121,402,25.1,2020
JAX,16,"6,683",417.7,"4,231",264.4,"2,452",153.3,492,30.8,2020
BAL,16,"5,276",329.8,"3,536",221,"1,740",108.8,303,18.9,2020
HOU,16,"6,668",416.8,"4,104",256.5,"2,564",160.3,464,29,2020
ATL,17,"6,194",364.4,"3,952",232.5,"2,242",131.9,459,27,2021
BUF,17,"4,637",272.8,"2,771",163,"1,866",109.8,289,17,2021
CHI,17,"5,384",316.7,"3,257",191.6,"2,127",125.1,407,23.9,2021
CIN,17,"5,964",350.8,"4,222",248.4,"1,742",102.5,376,22.1,2021
CLE,17,"5,296",311.5,"3,439",202.3,"1,857",109.2,371,21.8,2021
DAL,17,"5,967",351,"4,049",238.2,"1,918",112.8,358,21.1,2021
DEN,17,"5,544",326.1,"3,652",214.8,"1,892",111.3,322,18.9,2021
DET,17,"6,456",379.8,"4,160",244.7,"2,296",135.1,467,27.5,2021
GNB,17,"5,579",328.2,"3,724",219.1,"1,855",109.1,371,21.8,2021
TEN,17,"5,607",329.8,"4,169",245.2,"1,438",84.6,354,20.8,2021
IND,17,"5,834",343.2,"3,980",234.1,"1,854",109.1,365,21.5,2021
KAN,17,"6,272",368.9,"4,273",251.4,"1,999",117.6,364,21.4,2021
LVR,17,"5,732",337.2,"3,789",222.9,"1,943",114.3,439,25.8,2021
LAR,17,"5,863",344.9,"4,109",241.7,"1,754",103.2,372,21.9,2021
MIA,17,"5,738",337.5,"3,871",227.7,"1,867",109.8,373,21.9,2021
MIN,17,"6,522",383.6,"4,300",252.9,"2,222",130.7,426,25.1,2021
NWE,17,"5,284",310.8,"3,181",187.1,"2,103",123.7,303,17.8,2021
NOR,17,"5,410",318.2,"3,821",224.8,"1,589",93.5,335,19.7,2021
NYG,17,"6,032",354.8,"3,839",225.8,"2,193",129,416,24.5,2021
NYJ,17,"6,760",397.6,"4,409",259.4,"2,351",138.3,504,29.6,2021
PHI,17,"5,590",328.8,"3,756",220.9,"1,834",107.9,385,22.6,2021
ARI,17,"5,597",329.2,"3,645",214.4,"1,952",114.8,366,21.5,2021
PIT,17,"6,139",361.1,"3,656",215.1,"2,483",146.1,398,23.4,2021
LAC,17,"6,122",360.1,"3,761",221.2,"2,361",138.9,459,27,2021
SFO,17,"5,270",310,"3,510",206.5,"1,760",103.5,365,21.5,2021
SEA,17,"6,445",379.1,"4,513",265.5,"1,932",113.6,366,21.5,2021
TAM,17,"5,635",331.5,"4,062",238.9,"1,573",92.5,353,20.8,2021
WAS,17,"6,108",359.3,"4,333",254.9,"1,775",104.4,434,25.5,2021
CAR,17,"5,201",305.9,"3,266",192.1,"1,935",113.8,404,23.8,2021
JAX,17,"6,002",353.1,"3,875",227.9,"2,127",125.1,457,26.9,2021
BAL,17,"6,178",363.4,"4,742",278.9,"1,436",84.5,392,23.1,2021
HOU,17,"6,535",384.4,"4,117",242.2,"2,418",142.2,452,26.6,2021
ATL,17,"6,156",362.1,"3,942",231.9,"2,214",130.2,386,22.7,2022
BUF,17,"6,390",375.9,"3,716",218.6,"2,674",157.3,463,27.2,2022
CHI,17,"5,631",331.2,"3,336",196.2,"2,295",135,381,22.4,2022
CIN,17,"5,613",330.2,"3,415",200.9,"2,198",129.3,342,20.1,2022
CLE,17,"5,440",320,"3,574",210.2,"1,866",109.8,359,21.1,2022
DAL,17,"6,670",392.4,"4,179",245.8,"2,491",146.5,427,25.1,2022
DEN,17,"5,721",336.5,"3,349",197,"2,372",139.5,371,21.8,2022
DET,17,"5,978",351.6,"4,671",274.8,"1,307",76.9,359,21.1,2022
GNB,17,"5,678",334,"3,569",209.9,"2,109",124.1,427,25.1,2022
TEN,17,"5,579",328.2,"3,756",220.9,"1,823",107.2,369,21.7,2022
IND,17,"6,216",365.6,"4,129",242.9,"2,087",122.8,418,24.6,2022
KAN,17,"5,798",341.1,"3,842",226,"1,956",115.1,384,22.6,2022
LVR,17,"5,743",337.8,"3,992",234.8,"1,751",103,399,23.5,2022
LAR,17,"6,608",388.7,"4,515",265.6,"2,093",123.1,427,25.1,2022
MIA,17,"5,474",322,"3,681",216.5,"1,793",105.5,347,20.4,2022
MIN,17,"5,352",314.8,"3,134",184.4,"2,218",130.5,345,20.3,2022
NWE,17,"6,089",358.2,"3,638",214,"2,451",144.2,371,21.8,2022
NOR,17,"5,288",311.1,"3,220",189.4,"2,068",121.6,316,18.6,2022
NYG,17,"5,125",301.5,"3,057",179.8,"2,068",121.6,344,20.2,2022
NYJ,17,"5,931",348.9,"3,915",230.3,"2,016",118.6,449,26.4,2022
PHI,17,"5,617",330.4,"3,779",222.3,"1,838",108.1,346,20.4,2022
ARI,17,"5,884",346.1,"3,406",200.4,"2,478",145.8,384,22.6,2022
PIT,17,"5,110",300.6,"3,789",222.9,"1,321",77.7,277,16.3,2022
LAC,17,"6,149",361.7,"3,595",211.5,"2,554",150.2,401,23.6,2022
SFO,17,"5,513",324.3,"3,461",203.6,"2,052",120.7,358,21.1,2022
SEA,17,"5,178",304.6,"3,252",191.3,"1,926",113.3,343,20.2,2022
TAM,17,"5,953",350.2,"3,868",227.5,"2,085",122.6,374,22,2022
WAS,17,"6,006",353.3,"4,055",238.5,"1,951",114.8,350,20.6,2022
CAR,17,"5,513",324.3,"3,947",232.2,"1,566",92.1,315,18.5,2022
JAX,17,"6,452",379.5,"3,558",209.3,"2,894",170.2,420,24.7,2022
BAL,16,"5,106",319.1,"3,433",214.6,"1,673",104.6,286,17.9,2022
HOU,16,"5,371",335.7,"3,665",229.1,"1,706",106.6,322,20.1,2022
